Sentence,Sentiment
#borusan turkcell'de reklamýnda esmer bir kadýn oynatmak istemeyebilir.ben eþdeðer buluyorum. acaba ayrýmcýlýðý yapan türban savunucular mý?,2
Sarj aletimi is yerinde unuttum. Avea'min sms'i bitti. Yedek hat Turkcell'e attirdigim 20 tl de gelmedi. Ortada kalakaldim.,1
turkcell reklamlarinda temizlik iscisi bile ipone kullaniyor bilbort resmi cekiyor cari acik nasil oluyor iste !!,2
"kubat'ýn sesini ilk duyduðumda turkcell reklamýnda ,yoo yoo dedim hayýr olamaz nil bu sadece fena halde faranjit olmuþ ve sesi kalýnlaþmýþ.,",2
Kusurlu hizmet veriyosun #turkcell ben seni bu kadar severken yapma bana bunuu,1
Mesaj gelýr acarsýn ve sýnýrle kapatmanýn nedený 'TURKCELL',1
#turkcell amacýn ne olum sapýðým oldun her gece her gece arayýp duruyosun ben de ciddi bi þekilde açýyorum efendim diye bi git allasen ya,1
"Bugun aradigim butun turkcell'lilerin telefonunda telesekreter cikmasi ama hepsinin buna sasirmasi, bir tur turkcell gocugu degil de nedir?",1
askýým bu ay acýcam bý turkcell e geciyim de,0
Coca Cola'nýn son reklamý çok güzel..Turkcell'den daha iyi duygu sömürüsü yapmýþlar..,1
I Phone / Turkcell Müzik application.. Mutlaka deneyin...,0
Bi kere daha ttnet reklami gorursem bayilicam ilk firsatta superonline'a GERÝ donuyorum,0
lanet olasý bir turkcell li olarak vallahi ayný naðmelerden sýkýldým lan.. üþenmesem sýrf þu cývýk reklam için geçicem.,1
Saat 24:00 te vodafone lu oluruz. Ins Turkcell de yaþadýðýmýz sýkýntýlarý yasamayýz.,1
Millet hat degistirelim =) Numarasýný Migros’da Turkcell’e taþýyan veya yeni faturalý hat alana 50TL bedava alýþveriþ,0
"Lütfen  yap bi iyilik.. Annemin doðumgünü bugün.. Aramazsam küser, hattým kapandý ödemedim dersem kýzar! Yarn ödicem sözzzz ;))",2
degerli trcell ne yýlbaþýnda ne dogum günümde yoksun kopasým var senden adresimiz var bi hediye seni fakir mi eder,2
busem gökende de kalmamýþ napýcýgýz :(( sen yarýn turkcell bulsan ne güzel olur olabilir mi??,2
nee van turkcell,2
turkcell isi yokusa sürüyo ama pehh,1
"""Sevgili paylasinca guzel"" ne demek Turkcell ya ?",1
bu turkcell cagrý merkezi beni deli ediyor bi türlü anlaþamyruzzzzzzz!!!!,1
"Levent'de Turkcell 3G yalan. Avrupanýn en hýzlýsý buysa, tüm Avrupa'ya acýdým þimdi.",1
"iþimi de görüyor Avea yeterince, iþime yaramasa hadi 3 katý ödeyip Tcell'e geçeyim derim de gerek yok hiç:/",1
bence tweter sayesinde oldu...,2
onu geçen hafta bende yapýyordu bu superonline. Þu an rahat girebiliyorum ama O_o,0
Bu Turkcell pusula uygulamasý iPhone kullanýcýlarý için büyük nimet. Oturduðum yerden nöbetçi eczane kaç metre ötemde bana söylüyor.,0
turkcell tabiki ve 4s ten daha ucuza tam kac kene bilmiyom ayrica 4s abd de 4ten ucuz burda pahali aq mallik 499$ 4s abd de,2
"#Turkcell umarým bundan sonra kafasýna sarý anten geçiren,mýy mýy konuþan v ayaðýna inþaat çizmesi giyen çocuklarý kullanmazsýn reklmlarýnda",1
#turkcell senin yüzünden sevglmle rahat konuþamýyorum -_- defol !,1
bunu peki geri naisl eski haline getire biliriz nerde tikladim,2
"dakikalar için teþekkürler, bu arada gün içinde sms atmayý unutma kendimi yalnýz hissediyorum.",0
Sbh 07:30da $irkettin giri$inde elinde $ekerleriyle noel baba bizi kar$iladi:)Turkcell seni sevyorum,0
#Turkcell ve #Avea faturasýz hatlarýnýz ile mobil ödeme kanalýyla para yatýrarak  üzerinden bahis yapabilirsiniz. #iddaa,2
135 gündür hattýma tl yüklemyiormuþum. Ben fakirim Turkcell affet.,1
Baz istasyonu monte ederim sana. O turkcell açýlacakk arkadaþþ!,1
"turkcell hattindan bana ""naber mal"" diye mesaj geldiði zaman.",1
Ýnanýn benimde konuþtuðum herkes Trcell kullanýyor. Vodafone bence çok daha iyi bir operatör tabiki karar sizin ÝST denmisnz?,1
"O kadar yalnýzým ki gelen kutumda ""D'S, Burberry, Lacoste, Turkcell, Avea..."" Yeterli sanýrým",2
kötü espiri yapanlarý seçiyorlar yaw nokiada 3 hafta boyunca ne çektiðimi gördün sn turkcell 15 dakikada hediye etti :),0
En iyisi   düþünmen bile vakit kaybý :D,0
hayat paylaþýnca güzel la la laaa laa laaa la laaa ((:,0
"2006- Dünya Kupasý, Berbat notlar, Aþk ve Lise, Alsancak, Ankara, Soðuk.. 2007- Büyük kameraman, Tarih ve siyaset, Turkcell, Düðün, Seçimler",2
Offf Turkcell daralttin beni ne bu ya hergün mesaj.Tamam anladýk tanýmadýðýmýz numaralardan gelen ödül kazandýnýz mesajarina itibar etmiycez,1
numarasýný turkcell'den vodafone'a taþýyan ve de memnun olan var mý?,2
yok turkcell :),2
oyle cevap yazdim tcell'e.size ihtiyacim yok diye.,1
aaa pinini de paylasmiss ::)))gsfgjkshgf anneme soyledim turkcell bulursam hallederim dedi ama pek umutlu degilim...,2
Öf be amip Turkcell sinirlerimi bozuyosun !,1
"268,60 tl #turkcell faturam. Amk",1
O degil de internet paketim bitti ayýp sana tcell,1
"bu türksel millete hediye tl veriyo, benden hediye tl çalýyo bu nebe..  Tl lerim konusmadan bitiyo..",1
"iPhone 4S, Turkcell'le Türkiye'de -",2
3 gunde 1 gb nasil biter nasil pis turkcell:(,1
vodafone mu :/ ama herkes turkcell,0
"özlemiþim çok iyi geldi.Teþekkürler Graham Bell, teþekürler türkcell, teþekkürler can........",0
4 dakkalik bi sarkiyi en az 30 gunde ceker diyorum ben,2
"iyiki bi TL yükledik turkcell, sabahtan beri atmadýðýn kampanya kalmadý.",1
Kubatin sesiyle katkida bulundugu igrenc turkcell reklami kaldrilsin .,1
bursada yasýyan  kýz lar arrasýn 0507 696 17 14  Turksel,2
Saat fark etmeden msj atana turkcell denir :D,1
TURKCEL SEN VE TÜM PERSONELÝNÝN A.K,1
"Turkcell, vodafone falan satýyor. Fiyat tam net bilmiyorum ama 2binin üstünde.",2
benim dikkatimi turkcell cekti huyumdan sanirim hep zirvedekiler dikkatimi ceker ve  takip ederim:),0
peki bunu benim özturkcell okumama ne dicez ?,2
film ýzlýyordumm :( görmedim ve suan sinirlýyým turkcell oyalýyor hep beni,1
"""Sevgili bulunca arkadaþýný satma olayýnýn en büyüðü Turkcell'den, Vodafondan, Aveadan gelen operatör mesajlarýný okumadan silmektir.""",2
21 milyon 913 bin MMS gönderildi,2
Sabah 7.30dan itibaren tekrar Turkcell'm bilginizee :),0
#turkcellmuzik Konser Ýçin Çok Teþekkürler ! Turkcell &amp; Manga !,0
bana yurtdýþý tarifesi öner! 2012 tahminlerimde faturamýn düþecek olmasýný tahmin etmeyi istiyorum! ilgi istiyorum.þevkat filan.,2
#turkcell in #iphone4s kampanyasýný biraz yukarý çekecek olursak #dacia duster alabiliriz.,1
Yarin iphone 4s geliyor bence turkcell bayisinden gorcem artik 15 tatilde saturn magzasina gider kullanirim,2
Bu turkcell de 20 lirani 100 lira yapalim diyip duruyo. Lan -8 deyim hangi yirmi lira,1
&amp; sen neleri cozmussun burasý ne ki senin icin sekerim:)) bu arada Turkcell reklamý ve senin yorumun þahane..tebrikler caným..,0
daha ben gecemedým nasýl yapýyoruz?,2
Medyada yer alan 'olumsuz haberler klasörünün' Turkcell Genel Müdürü Süreyya Ciliv'e gösterilmediðini düþünüyorum ciddi ciddi,1
turkcell de bana çok güzel bir kýz gibi geliyor vazgecemiyorum :),0
Hayat paylaþýnca güzel Hayatým :)),0
Bu da son olsun bu günlük . * Hayat paylaþýnca güzel. Ayný yatakta bir yastýðý mesela.. #takipedenitakipederim,0
Sabah 7de mesaj atan turkcell sapýkmýsýn lan,1
Turkcell 4 çeker panpalopp ama ben cekemem artýk tripleri,2
#turkcellesavasimvar 6 7 ay oldu rahatladim. Korkulu ruya gormektense uykusuz kalirim.,1
sorun tcell :)),1
Mudo'dan iki hediye alan Turkcell'lilere üçüncüsü hediye,0
sebebiyle telefonlarýnda kesik olmasý düþünülürse insanlar adsl gunlerini arar hale geldiler. superonline = berbat alt yapý..beceriksizlik !,1
"""183"" umarým bu rakamýn sonunda ""tl"" ibaresi yoktur :-) Turkcell deyince aklýma sadece fatura geliyor :-)",1
"avea fena deðil ama vodafone kafasi cok iyi, sempati yarattý bende turkcell abonesi olarak",2
reklamlarýnda   daðda bayýrda çekiyor fakat istanbulun göbeðinde bizim evde çekmiyordu.,1
abi sen de turkcell blog yarismasindaydim yanlis hatirlamiyorsam. 5 ocak'ta nasil katiliyoruz odul torenine?,2
Ýnanýr mýsýnýz þu anda internet paketim yok hatta tl'mden de gitmiyor. Hep turkcell bizi kazýklayacak caným :D,1
"""  Hocam; bugun  memnuniyetsiz bir musteriyim diye tepiniyorum, kimse orali degil.""Turkcell niye uzuyon!",1
tmm tþkrler turkcell facebook sayfasý,0
bence de... zaten turkcell'le iþimiz bitti artýk boþver...:D,1
turkcell her zaman cevap verir bizlerin yanýnda olur :)) turkcell candýr :)),0
"Benim Facebook'ta hesabim yok.. Twitter, Coca-Cola, Kopek, Kahve, Turkcell.. falan filan.. Haa bi de GS tabii :)))",2
1 Turkcell bený sesýmden tanýr 2 Turkcell bený sesýmden tanýr 3 Turkcell bený aasdfghjksasdfghj yeteeer beeeee -adamý delýrtýrsýn turkcell.,1
günaydýn selocan :),0
Abi senin bir defa Adanada ki ofisinde Dhmi olayý vardý bende tesadüf oradaydým hatta Turkcell de çalýþýyordum o zaman,2
"4S'ime kavustum sonunda, eski meslektasim Sümeyye Öztürk sayesinde, harika bir Turkcell calisani:)",0
Oc turkcell,1
hoþgeldin aramýza. hayata baðlan Turkcell'le Hazal.,0
"#turkcell #avea Ariköy sitesi akkavak sokak no 11 uskumruköy sariyer'de telefon cekmiyo, 1 aydir ariyorum sizi bi vericiyi tamir edemediniz",1
yaaaaaa tam  kýzýp iphone4s almayacaðým dediðim anda bu bana yapýlamaz! isyan ediyorum!,1
"Bu saatte Telekom ve Turkcell beni arayarak kampanya bilgilendirmesi yapti dun gece Garanti saat 04.00 da, dava acilamiyor mu bunlara?",1
Mesajsa turkcell'dir arayansa annemdir.,1
orospusun turkcell biliyosun paketimin bittiðini inadýna mesaj atýyosun :D:D,1
11 yýldýr buradayým Turkcell'de arkadaslarým var. Hala bir sikim olamadým,2
Hayat paylaþýnca güzel lalalalalalalalalalaaaaaaaaaaaa :D,0
"artýk var, turkcellin sitesine bakýnýz.",0
"Charlene Li: ""Ne olursa olsun bir yerinden Sosyal Medya yönetimine baþlamanýz gerekiyor."" diye tavsiye etti. Turkcell #PazarlamaKonferansi",2
"Bu gecenin en karlilari Turkcell,Vodafone,Avea dusunsene 70 milyonun %70i eski sevgilisini ariyo",2
"Oha ya sevis mesajý alýmýnda son nokta, avealýyým ama türkcell de bana mesaj atýyo ?",2
", en doðru kararý vermiþ olursun, turkcell ve superonlineden uzak durun. Soyup sovana çeviriyorlar. Ben kurtuldum dstm",1
3G de herzaman heryerde hep problem var sevgili,1
Kendimi hiç bu kdar yalnýz hissetmemiþtim ne reyhan ne turkcell mesaj attý 12 saat içinde,1
anneem turkcell.de takýlýyorum da yeni gördüm mesajý :D bu arada neler oluyor tiyatrodaa :D,2
ay bebegim sana dizi gibi bi ask hikayesi anlatacagum bana turkcell no yolla:),2
Turkcell Hizmet ekibi ne kadar yavaþ çalýþýyor öyle..,1
lan bekleseymiþim keþke 5 gün daha 4s gelmiþ turkcell e ! üzüldüm þu an.,2
"Musteri hizmetlerindeki kadina 'turkcell benim tl'lerime kafasina gore biseyler yapiyo, bilmiyorumki.' Diyorum ya :D",1
"Iphone 4s, 4s uygulamasi ""Seven S.. S.. Sevilir"" yakinda butun TURKCELL'lerde.",1
Copcu karisi bile sabahlik giyiyo bkz turkcell reklami,2
Bi uyarsaydýn hani turkcell! :s,1
#turkcellfestival Turkcell'in canlý konser için MODEL seçimi çok baþarýlý olmuþ!!! Þarký sözleri de sound da çok iyi. Aynen devam MODEL!,0
"Turkcell cephesinden hiç beklemiyordum böyle bir telefonu, öneri için çok saðolasýn!",0
Sanirim artik vodafone kullanicisi olucam. Hehehe hoscakal turkcell :D,1
"Kirk yilda bir Turkcell ise yariyacakti platinum havas belesdi, havas havatas olmus yok",1
“ Turkcell reklaminda hamile bi abla var ya... Yediz doguracak galiba. Hic bu kadar hamile birini gormemistim”,2
"Hazine ve Risk Yönetimi Baþkaný Murat Doðan Erden, 250 milyon dolarýn iki ayrý 5 ve 7 yýllýk planlarla geri ödeneceðini söylüyor.",2
"ÞAÝBE,ÞÝKE,FENERBAHÇE #3kelimeyle2011",2
Bis servisi tarifesini bir alt kademeye indirince uvey evlat muamelesi goruyorsak isimiz var senle Turkcell!!!,1
banada msj geldi turkcell yapmaa,1
KKTC Girne'de Turkcell þebekesi iptal...!!!netten ulaþýn iyi geceler,1
"haha Noel Baba hesabý,hesabýnýn hesabý,býraksýnlar hesabý kitabý =)) bi turkcell gece 3e kadar baðladý bak bizi =)",2
süperonline kesinllikle . .,0
"müþterisine sahip çýkmayan,yolunacak kaz gibi gören  sana ne desem az !",1
"sayýn genel müdür, ben bir turkcell kullanýcýsýyým. hatay reyhanlý da yaþamaktayým. bulunduðumuz yerde malesef turkcell",1
1 milyon ?,2
Mesajsa turkcell'dir. Arayansa annemdir. Çok yanlýzým :(,1
"#Turkcell'den yeni bir hizmet daha! Unutkanlýk. Numaranýzý verin, biz yine soralým. Hayat salladýkça güzel.",1
#YeniYilKararlarim bumesajý RT yapan tüm turkcell kullanýcýlarýna masaustu takvimi bizden...#benimutlueden #2012hayallerim,2
hahahahah :D ya yemin ederim bok gibi superonline ttnet daha iyidi :D,1
100 milyon,2
bizde biliriz o çileyi zamanýnda çektik :) yarýn gel sizede superonline alalým,0
Kadikoy - Karakoy vapurunda Turkcell arilari Cumhuriyet ve Zaman gazetesi dagitiyor..,2
"20 saatte bir bayi açan, 2 saatte bir baz istasyonu diken ama bir türlü çekemeyen bir operatör varmýþ. Çok acýnasý çok.  büyüksün",0
"#hayattansogutanseyler þarkýlý türkülü reklamlar (bknz. turkcell, coca cola, vodafone, mutlu akü,  akp vb)",2
çözüm merkezi lütfen duyun sesimi ve beni arayýp sorunumu çözün artýk 48 saat olcak !!!,1
Sahnede Turkcell Bandosu ve CelloBand....,2
e su tcell reklaminda bildigin baska araba on izgara degismis amblem eskisi gibi sadece kucuk kullanimis,2
"galiba :) sen birde o telefonuna baksan,yazdýklarýmla Türkcell muhattap olmasa sadece ne güzel olur dimi :)",2
Sabah sabah kendimi koridorda''TURKCELL BENI SESIMDEN TANIR'' diye bagirken buldum.Bir internet paketi icin insan neler yapiyo,0
Avea ne lan kenkzz? Rus karýsý ismi falan mý? Ccc Turkcell 3g internet hýzý siker amk ccc,0
turkcell e mi geçiyosuuuun?,2
Sen vodafone gibi ani yasarken ben turkcell gibi her yerde seni cekemem.,0
bi kaç gun smsýn olmayabýlýr turksel farký huhu,1
telefonumu gizli numaradan arayýp hattýnýza geçmemi teklif etmenizden tiksindim. geçeceðim varsa da geçmem.,1
ya diyorum sana bizim baba gelmicek bu sene bana dedi sen halledersin bana söyle isteklerini hem benim hat turkcell :),0
#turkcell #vodafone #avea Turkcell Gold Plus Paketine Alternatif arýyorum arkadaþlar. Lütfen yardýmcý olun :) #Turkcell 'den býktým.,1
"turkcell musteri hizmetleriyle cok kibar konusuyosun,,,ben senin kadar sabirli olamiyorum mojitoooo!",1
yine mi turkcell reklamý :D,1
yarýna gnctrkcll yok..uykum çok pahalýya geliyo zaman..,0
Bu salak blackberry paketi neden güncellemiyor he?? Turkcell de güncellemiyor,1
uydunet tv den baðlanýyor mesela superonline nerden baðlanýyor?binada sorun varda telekomdan dolayý.,2
Bý ýpad iþini halledemeyen turkcell platinum uyesý  cinnet geçirerek saçlarýný yoldu!,1
turkcell den alicam ariycaklardi sozde hala aramadilar amuhagoyim,1
Ruyamda Turkcell'den telefon edeceðinde önce telefondan çýkan reklamý dinlemek zorundaydýn. Ýþim de acildi ve ruya dediðim þey kabustu.,1
"Ne komik reklamlar  , ne komik! Bonus Kart'ýn kafa reklamlarý kadar komik! Gözlerimizi devire devire izliyoruz! Çok esprilisiniz!",0
Bu sabah 05:05'te Turkcell'e numaramýn taþýnmasý tamamlanýyormuþ. Sen halen komikli þakalý reklamlara devam et Avea :),0
Kontür yüklemesem Turkcell'in mesaj atacaðý yok hep benden bekliyor ilk adýmý,1
turkcell 4 çekiyo yavruþ :O,0
Pazarlama Ýlkeleri dersimize konuk olarak öðrencilerimize Dijital Pazarlama Ýletiþimi vizyonu katan   çok teþekkürler,0
iPhone 4S kampanyan çok pahalý be Turkcell'im. Bi' kerede demediniz ki al ibocum hep hediye daðýtýyoruz buda bizden sana diye :(,1
geride kalan müzik aktivitelerinde çalýþtým bugünde evden internetten izlicem.çok merak ediyorum bu güzel proje nasýl görünüyo :),0
2007 den beri Türkcell'liyim ortalama her ay 120 liralýk kontör harcamam vardý. Son faturam 167 TL fakat bir cellocan takkem bile yok :(,1
çok iyi tanýrým kendisini.turkcell tim gürhan abi dedinmi bende akan sular durur.#turkcelltimgurhanabiyitanýyaninsanlartanýyorum.,0
Ýyi ki Turkcell'in hava durumu paketine aboneyim. O da olmasa kim mesaj atacak bana,0
Sarý antenlerini s*ktiðimin TURKCELL'i 2900tl iphone 4s 64gb fiyatý mý olurmuþ! Peki bu küfür alana mý gitmeli satana mý?,1
turkcell :),0
Reklamý bana   reklamlarýný çaðrýþtýrdý. Bu çaðrýþýmý yaratan Turkcellse baþarýlý olan da haliyle o! Deðil mi?,0
"Bu Turkcell iyice sinirimi bozmaya basladi, kafasýna göre paket alýyor, yeniliyor",1
faturali hattima hic bir indirim hediye alamazken 20 tl yukleyen hazirkartliya milyonlarca dakika hediye,1
Bos  1 numara !,0
selocan hahahh =)),2
"in iphone 4s sloganý cok amotrce olmus:""Bugune kadar yapýlmýs en iyi Iphone"":)",1
Sabah sabah faturasini gorunce sasiran birtek ben degilim degil mi? Turkcell nerenden sisiriyosun su faturayi lan allahsiz :/,1
Bu kadar mý fakirlediniz? Kampanya tanýtýmý için ýsrarla çaldýrýp kapatýyorsunuz!Yýllardýr tonla para ödüyorum size yazýklar olsun!,1
Meraba Turkcell müþ hizmetlernden ariyoruz -meraba -isminiz? -Ömürsel -Aa gercektenmi ne kadr guzel bi isim -(yok yalandan)ehehe tesekkurler,2
#TURKCELL seni de ben boykot edicem.,1
"Ben teþekkür ederim:) hayat paylaþýnca güzel desek, Turkcell sponsor olurmu acaba:)",0
kalite diyorum. herkese günaydýn :),2
Avea yalan söylüyor Tamam denilen iþleme 15 gün sonra olmaz dediler Kendi içinde iletiþim kuramayanlar müþteri ile nasýl kursun,1
Derin bir nefes alýyoruz... Ancak checkin yapabiliyoruz!!! ( Turkcell Tepebaþý Plaza w/ 10 others),2
"burçine msj gelmesiyle hepimz gözgöze gelir ,msj açýldýðýnda turkcell olduðunun görülmesi üzrine bakþlar annda bþka yöne çvrilr",2
beni þaþýrttýnýz. bunca yýldýr turkcell kullanýyorum bu kadar hýzlý bir geri dönüþ almamýþtým. teþekkürler.,0
"Musterý hýzmetlerýne baglanýcam dýye sabahten berý ""Turkcell bený sesýmden tanýr"" dýyýp duruyorum sokakta goren delý dýycek",1
+Turkcell beni sesimden tanýr. -anlamadýk lütfen yeniden deneyin +turkcell beni sesimd.. benim ben döl ziyaný tanýmadýn mý (Türk kýzý Merve),2
"haklýymýþsýn, telefonun içini dýþýna çýkarttým çalýþtý.))) sorun makinede sanýrým..sorry Turkcell o zaman...",2
etiler turkcell subesi tarafindan tarafima hediye edilmistir... Bundan istiyosan turkcelle gidip azicik sevimli olmaya calis.,1
superonline cok iyi hele ttnetten sonra baya iyi 3 aydir sorunsuz kullaniorm hic skntý cikarmadi,0
bende kazýkçý turkcell'liyim,1
:S,2
"sen vodafone gibi aný yaþarken,ben turkcell gibi seni her yerde çekemem",2
Bende Turkcell'liyim ama bende bu sevdadan gram yok :S,1
TAVSÝYE: iphonedan kullanilan online islemlerin icinde superonline bilgilerimizde olsa daha faydali olur.,0
Sizlerden cevap bekliyorum !,1
"bana da 159 tl fatura gelmiþ, bu ne ya, resmen salak yerine koyuyor adamý  #turkcellesavasim var",1
"Avea 'ya sadece buradan bi yazý yazdým anýnda telefonla ulastýlar :)))) kýskan , çatla , patla   !!",1
Selocan in disi halinin adi selocanan mis.,2
O degil de Turkcell'in son reklami ne kadar gercek ustu lan. Copcunun hatundaki telefon falan..,1
4 çeker 5 çeker hikayeeeeee  en az 4-5 kez cagrý merkezine telefon acmama raðmen TRABZON'da þehir merkezinde telefon cekmiyor,1
Bratan dj'e gidip suat nerde in asag demek lazimda neyse :D tesekkurler TURKCELL harika bi gece,0
Turkcell oynattýran kampanyanýn hediye kuponlarýnýn mesajlarý telefona mesajmý gelecek?,2
Milyon tane mesaj hakkim var kullanamiyorum special thanks to,1
nihatan sora güzel bir þey buldum türkiyede 4 þekilde hat vardýr 1. vodafon hat 2. turkcell hat 3. aveya hat 4. ise nihat,2
Kontör yükleyince yalakalik yapan turkcell gibi insanlar var.,1
depremzede nin yanýndayýz deyip sormadan ertelediginiz faturayý topluca geçirdiniz Turkcell'e baðlandýk hayata,1
"'in Platin Sponsorluðunda gerçekleþtirilecek 7. ÝLTEK Günleri etkinliðine kayýt olmak için,",2
türkiyede cep telefon sebekelerden hangisi vodafonela calisiyor? türkcell mi telsimi? onu soruyom :),2
Nikon D5000 ile baðlan hayata.. 70-300 ile uzaklarý yakýnlaþtýr.. :),2
Bu nasýl bi þarký ya artýk favori þarkým :) Turkcell'e baþvurup bu þarkýyý çalarken dinlet yapýcam :),0
TÜRKCELL SÜPERONLÝNE ANADOLU YAKASINDAKÝ SORUNUNU 2012 ÇÖZER MÝ ACABA.,1
"o zaman turkcell'in yýlbaþý öztürkcell reklamýný izle iyice dumur ol, paralel evrendeki berbat bir turkcell'in reklamý sanki.",1
"20 tl yükledim,turkcell'den 13 tane mesaj geldi....",1
"su an iniyor. :) ama 6 saat verdi mkv'ye, derhal daha hizli insin. ya superonline fiber ne guzeldi amk cihangir.",0
ttnet in servisleri cok iyi superonline da baglanmak kolay ama sorun ciktiginda kimseye ulasamiyorsunuz,1
Kiev de mcdonalds a gidip 12 mil. Gnctrkcll li olarak indirim istiyoruz dedim. Ha? dedi.. Dit dit diritdit dedim siktir git dedi...,2
Dun gecedn beri turkcell mustri hzmetlerndeki kadinla ask yasiyrz sonunda oldu oh be:)),0
Ýþte Joygame ve Turkcell iþbirliðinden müthiþ bir kampanya daha. Joygame; Turkcell Mobil ödeme ile yükleme yapan...,0
Neleri istiyorlarsa vereceðiz' diyen Bülent Arýnç bence 'hayat paylaþýnca güzel la-la-lay-laaay' olayýný çok yanlýþ bi yerden anlamýþ.,2
#bukutudanevar 'da ilk soruya ait hediyeler sahiplerini buldu. Tebrikler.,2
"Ben turkcell den vodafone'na geçmeyi planlýyorum, avea çok kalitesiz...",1
Mahalleden SuperOnline geçse iyiymiþ.,0
1994 yýlýndan bu zamana kadar kullandýðým TURKCELL hattýmý TURKCELLin tutumdan dolayý Protesto olsun diye kapattým... Yüküm hafifledi...,1
mesaj atýyosun turkcell tamam onu anladýkta niye bi mesajý 2345678987654567890987656789 kere atýyosun henüz anlamýþ deðilim????????******,1
Küstüm #Turkcell.,1
Vatan Sasmaz'in evinin oraya baz istasyonu kurucagina gel de  GSFye bi care bul ya okulda telefonumuzu kullanamiyoruz,1
allah belasýný versýn:)))))))))),1
Bu turkcell bana fake atýyo hee,1
Kim diyor disardayim diye .Haala calisiyoruz =) ( Turkcell Maltepe Plus),2
ORÇO'YLA BAÐLAN HAYATA.,2
#avea bize musteri sayini aciklasna hatta vodafone ve Turkcell'in mustri sayisini da acikla ama boyle bi reklamla acikla tabi aciklayabirsen,2
Oha 4-0 mý :O Burak Hatrick'mi yaptý ? ordumuz yýkýldý mý ? Türkcell Süper Lig feth mi edildi ? ovv yanaaaay :D,2
Konuyla ilgili gösterme bir destekle bazý kursiyerleri Turkcell abonesi yaptýktan hemen sonra desteðinizi çekmeniz size yakýþmadý!,1
yeni laptop ile superonline baðlanýnca görecem seni :D,0
Bugun Superonline musteri hizmetlerini arayip churn + avantajli kampanya paketlerini soracagim. Artik TTNet'e para bayilmaya son ..,0
Ericsson 688:) zamaninin en saglam ve sik telefonlarindan biriydi bence...,2
"Kamil Koç bi kampanya yapmýþ aç Turkcell ile beraber tam bir saçmalýk.vay efenim yüzde 10 koltukta geçerli,yolkartsýz kullanýlamýyo bu ne ya",1
#itirafetmekgerekirse Arkadaþýmýn rehperinden sevgilisinin adýný turkcell olarak deðiþtirdim.sevgilisi ne zaman mesaj atsa okumadan siliyor,1
"pazarlama ailesiyle beraber yol almak istiyorum. CV'm blogumda, ilginizi bekliyor:)",2
#SonDakika 10:29 Nil'e þok suçlama:  'Hayat Paylaþýnca Güzel' þarkýsýnýn kendi eserinden çalýntý...  #ProSosyalMedya,2
Burdan yetkýlýlere seslenýorm :  se se !!! Sattýgýnýz blackberryý turkcel desteklýo dýosunuz turkcell en merkezý yerde cekmýo? Ne ayaksýnýz,1
bu sabah emailla gelen Turkcell faturasý sonucunda anladým ki Hayat Geçirince Güzel aaaaaooooo Roaming Yapana Pis Kayýnca güzel lalalalalala,1
piþirmek istersen de bana sorarsýn tcell e ihtiyacýn yok gercekten,2
Nasillll :) ( Turkcell Superonline),2
"Oda arkadaþým bana mesaj attý, geldi gayet. Onun operatör de  Ben hala yollayamýyorum amaaa. :O",1
Bu aciklamalarla insanlarin Turkcell`den kactigini mi gormezden geliyorsunuz?,1
unuttunuz galiba bizim yýlbaþý geçeli 13-14 gün felan oldu. ?,1
beni bir sen anladýn sende yanlýþ anladýn be turkcell her gün ayný mesajý yollaman için mi ben o kampanyaya üye oldum.,1
"#2012istekleri  Turkcell den kurtulmak bir an önce, þart oldu -alýþkanlýklar bir kenara artýk -",1
"#3kelimeyle2011 basarý, performans, keyif...",0
allahtan gencim ve turkcell'liyim :) eglenmenize sevindim,0
günlükleri Vol. (bilmem kaç) Sevgili Turkcell bu sana son mektubum.,1
Brawo turkcell simdiden cekmiyor!,1
Evet daha hýzlý diðe evimize ulaþtýnýz ama daha 20 mbit in 4 ün üzerine çýktýðýný göremedik.,1
Biraz abarttýk galiba: 8de baþlayan mesaiye servis þoförümüz 7.20de getiriyor. ( Turkcell Superonline),2
Siyavuspasa mah. yaprak sok.bahcelievler'de ki tum musterilerinizin hatlarinin sadece pencere yanlarinda cektigini biliyor musunuz,1
Doðum Gününüz kutlu olsun.(Ýnsan birgün daha bekler).Turksel öyle bir hata yapmaz olmazsa biz göndeririz relax..,2
#uydunet bu ay turkcell faturamý sen öde mümkünse... iki gündür ne tv var ne internet... turkcell e eðilmek zorunda kalýyoruz sayende....,1
"Ýphone 4S,16 Aralýk tarihinde Turkcell bayilerinde kampanyalý satýþa sunulacak bilginize ...",0
oha ayný mindshare turkcell team :),2
direk turkcell e yapistir,2
"istanbuldayken telefonumun ana ekranýnda vs ""TR TURKCELL"" yazarken izmitte sadece ""TURKCELL"" yazýyor. izmit gavur mu lan?!",2
Nasýl uyuycaksýn bu gece hýý ?!  Selocan derse doðrudur ama paylaþacak bir þey de kalamýþ baksana :/,2
elimde Ýphone olsaydý size ne güzel resimler yolardým vermediniz ki:((,2
"2 tl için mesaj hakkýmý yenilemeyen Turkcell, bunu sana hiç yakýþtýramadým her ay paþa paþa 12 tl bayýlýyorum sana ne olur ki kýyak geçsen.",1
