Sentence,Category
"Distribution: world Message-ID: <1pr8aoINNbv7@lynx.unm.edu> References: <19930405122245@mantis.co.uk> NNTP-Posting-Host: carina.unm.edu Keywords: FAQ, atheism  I have an addition to the FAQ regarding ""why are there no atheist hospitals.""  If I recall correctly, Johns Hopkins was built to provide medical services without the ""backing"" of a religious group...thus making it a hospital ""dedicated to the glory of [weak] atheism.""  Might someone check up on this?  --  Brian Evans                |     ""Bad mood, bad mood...Sure I'm in a bad mood! bevans@carina.unm.edu      |      I haven't had sex...*EVER!*"" -- Virgin Mary ",alt.atheism
" bcherkas@netcom.com (Brian Cherkas) writes: >chess@cats.ucsc.edu (Brian Vantuyl Chess) writes: >>  I just got a Duo 230, and I'm having some difficulties. >>If the machine is plugged in to the wall adapter, put to sleep, >>unplugged from the wall, and woken up, it crashes 75% of the time. >>(There's nothing but the original system software on the machine.) >>The battery has plenty of life - I think this must be a power manager >>problem, but I don't know what to do about it. >>Also, the speaker occasionally makes a high-pitched hiss.  The noise >>is irregular, but seems to favor sleep and restart commands.  >I've had my Duo 230 for a few weeks now and suffer from both >of the above problems. I reinstalled my system software twice >in an effort to combat the problems - thinking they were >system software problems. Initially reinstalling the system >seemed to help but not anymore. Occasionally when I try to >wake up the Duo I get a solid screen of horizontal lines on >the screen - it freezes.  >I also get the high-pitched hiss occasionally - but only at >startup.  >I've called the apple hotline (800 SOS-APPL) three times >already and finally they agreed something is astray after my >Duo's screen would go dim and the hard drive spun down by >itselft and put itself to sleep. This problem only occured >twice. Apple sent me a box to ship my Duo to be looked at in >New York but the problem now is intermittent and I can't >afford to be without my Duo at this time.  >Anyone out there with these same problems?  >--  >Brian Cherkas     * *    bcherkas@netcom.com >                   I    >AOL/BrianC22      \_/    compuserve/71251,3253 >Netcom - Online Communication Services San Jose, CA  Yes, quite a number of people it seems from discussions I've had (me included). I bought my machine a couple of weeks ago as well and started to experience these problems.  Apple Australia via my dealer said that this problem has a number of potential causes - Faulty applications, faulty third party hardware (modems, memory etc), system software, PRAM corruption and power manager corruption, and the Duo hardware itself.  None of the above are relevant in my case except the last two maybe (no applications were running, the system software was re-installed, I have no additional hardware). I have found that clearing PRAM appears to help for a while at least (hold down command option P and R on startup). Unfortunately the problem returns suggesting that PRAM is being corrupted by something (system software bug ? - I don't have any non-issue inits in my system). Apparently the Power Manager can be reset by ""holding the reset and interrupt buttons while powering up"" - Apple's advice - but since the Duo does not have an interrupt button I'm not sure what they mean in this case. This may also help if someone can decipher Apple's advice for me.  Beyond this Apple suggest that "" you should follow the technical procedures to check the hardware of this Duo"". Since so many others appear to be having the same problem it would seem to me that there has been a system software bug introduced somewhere along the line - and quite recently too - since it only seems to be recent Duo 230 purchasers who have this problem.  Any more comments from others in the same boat are welcome, particularly Apple Duo engineers :-)  cheers  brucet  --            bruce tulloch sydney australia - brucet@extro.ucc.su.oz.au ***complex problems have straight forward, easy to understand wrong answers*** ",comp.sys.mac.hardware
" Can anyone offer a suggestion on a problem I am having? I have several boards whose sole purpose is to decode DTMF tones and send the resultant in ASCII to a PC.  These boards run on the serial interface. I need to run * of the boards somwehat simultaneously.  I need to be able to ho ok them up to a PC>  The problem is, how do I hook up 8+ serial devices to one PC inexpensivley, so that all can send data simulataneously (or close to it)? Any help would be greatly appreciated! Abhin Singla ",sci.electronics
"Approved: christian@aramis.rutgers.edu  Over the years, I have met Christians who are not associated with any local church and are not members of any local church. This is an issue that may be very personal, but is important.  What does the Bible say about this and how can we encourage our friends with regard to this issue?  |-------------------| | Gary Chin         | | Staff Engineer    | | Sun Microsystems  | | Mt. View, CA      | | gchin@Eng.Sun.Com | |-------------------| ",soc.religion.christian
" Seeking North Carolina beach rental.  Desire house for two families (4 adults, 3 kids) for one week in late June/early July.     --  Fred Masterson				fmaster@ravel.udel.edu Psychology Department			Fred.Masterson@MVS.udel.edu University of Delaware			gnm00666@udelvm.bitnet Newark, DE 19716 USA (302 831 2575) ",misc.forsale
" Dick Grady (grady@world.std.com) wrote: :  : I am considering buying a 1993 Chevy or GMC 4x4 full-size pickup with : the extended cab.  Any opinions about these vehicles?  Have there been : any significant problems? :  : --  : Dick Grady           Salem, NH,  USA            grady@world.std.com : So many newsgroups, so little time!   I bought a brand new 1992 Chevrolet K2500 HD 4x4 extended cab last May.  It has had many, many problems.  See my earler post that describes the situation.  I went to BBB arbitration, and they ruled that Chevrolet must buy it back from me.  If you do get one, stay away from the 5 speed manual with the deep low first gear.  They have put three of them in my truck so far.  After about 1,500 miles, overdrive either starts rattling or hissing loudly.  There is no way to fix them.  Chevrolet  says that the noise is ""a characteristic of the transmission.""  Also, if you are planning to use your truck to tow, the gear ratios in that tranny suck.  On a steep hill, you get up to about 55 MPH in second gear at 4,000 RPM (yellow line).  If you shift to third, the RPM drop to only 2,500, and you begin to loose speed.  I should point out that the 350 V8 they put in the HD (8600 GVW) trucks is a detuned motor compared to the one they put in the light duty ones.  They dropped the compression ratio, supposedly for ""engine longevity"" reasons.  So the light duty 350 may pull better than my truck does. Other things that have gone wrong include the ventilation fan (3 times  so far), paint (had specs of rust embedded in the paint from being shipped by rail with no covering), and suspension parts (link between stabilizer and control arm fell off).  Any company can make a bad individual car, Chevrolet included.  What really bothered me was the way they reacted.  They made no attempt to deal with me except to tell me to take it back to the dealer for  them to attempt to fix it one more time.  So I bought a brand new Ford F250 HD Super Cab with a 460 and an automatic.  I will never buy another Chevrolet.  jackw@hpdmd48.boi.hp.com ",rec.autos
"NNTP-Posting-Host: apple.com  fls@keynes.econ.duke.edu (Forrest Smith) writes:  >	The situation with the Giants' bleachers is a case in point for the >need for a commissioner.  Okay, I'm curious. Why? Are you expectin the Commissioner to fly in and stand on the pitchers mound to yell at the fans to sit down, or what?   --   Chuq ""IMHO"" Von Rospach, ESD Support & Training (DAL/AUX) =+= chuq@apple.com    Member, SFWA =+= Editor, OtherRealms =+=  GEnie: MAC.BIGOT =+= ALink:CHUQ    Minor League fans: minors-request@medraut.apple.com (San Jose Giants: A/1/9)   San Francisco Giants fans: giants-request@medraut.apple.com (The Stick?NOT!)    San Jose Sharks fans: sharks-request@medraut.apple.com (New seat: 127/TBD) ",rec.sport.baseball
" In article <1993Apr15.223844.16453@rambo.atlanta.dg.com>, wpr@atlanta.dg.com (Bill Rawlins) writes:  |>     We are talking about origins, not merely science.   Science cannot |>     explain origins.  For a person to exclude anything but science from |>     the issue of origins is to say that there is no higher truth |>     than science.   |> This is a false premise.  In what manner?  If you argue that the universe was created with a higher `truth` than science (btw I would love to see you define `truth` in this arguement) then you must state how you know this and what it is.  To subbornly state that there is a ""higher truth"" and that it isyour god, I would ask you to prove it. This, obviously, you cannot do.  Besides, if I assume for the moment that there is a 'higher truth' then how can you prove it is your god and not  another religion's?  What makes you so arrogant to push forward your idea of creation over many peoples' study of the laws of nature, ie science?  Science is the study of nature.  It is open-minded: if the theory doesn't fit the facts then trash the theory and try to construct one which does.  It is *flexible*! Your definition of science presupposes that science ignores this god  character altogether.  If this is so, then it is only because no evidence  can be found of him.  |>  By the way, I enjoy science.  So do I.  Fortunately I am not mentally shackled into constructing my scientific conclusions by placing god, Jesus and the holy ghost into every paragraph in a sycophantic manner.  |>     It is truly a wonder observing God's creation.  Macroevolution is |>     a mixture of 15 percent science and 85 percent religion [guaranteed |>     within three percent error :) ] |>    Indeed it is a wonder observing the random effects of creation.  This, of course, assumes a definition of aethetics which you don't forward!   As to ""Macroevolution"":  please give references and more information.  From where do you get your figures?  Adda.      |> --  |>              ========================================================== |>             //  Bill Rawlins            <wpr@atlanta.dg.com>        // |>            //                          ""I speak for myself only""   // |>           ==========================================================  --  +-------------------------+-----------------------------------------------+ |  Adda Wainwright        |    Does dim atal y llanw!         8o)         | |  eczcaw@mips.nott.ac.uk |   8o)        Mae .sig 'ma ar werth!           | +-------------------------+-----------------------------------------------+  ",talk.religion.misc
 Has anyone else gotten a system error when trying to print from Mathematica 2.1 to the HP Deskwriter. I'm using a PB170 with:	8 megs ram 						Sys 7.0.1 + Tuneup 						HP Print Drivers etc....  It works find on an Imagewriter I. I'd like to get as much information as possible before I send a bug report to Wolfram.  Thanks.  -Kurt (whitmore@iastate.edu)  ,comp.sys.mac.hardware
" In article <1993Apr21.105043.22848@hemlock.cray.com> ant@palm21.cray.com (Tony Jones) writes: >Steve Bunis SE Southwest Chicago (doc@webrider.central.sun.com) wrote: >: I was posting to Alt.locksmithing about the best methods for securing  >: a motorcycle.  I got several responses referring to the Cobra Lock >: (described below).  Has anyone come across a store carrying this lock >: in the Chicago area? >:  >: Any other feedback from someone who has used this? > >What about the new Yamaha ""Cyclelok"" ?  	It is far from new.  It's been around almost as long as dirt.  >From the photo in Motorcyclist, it looks the same hardened steel as a  >Kryptonite U lock, except it folds in five places. >It seems to extend out far enough to lock the rear tire to the tube of >a parking sign or similar. > >Anyone had any experience with them, how easy is it to attack the lock >at the jointed sections ?  	I had one for one of my old bikes.  Worked fine.  I'm sure, being rigid and nonflexible, that the ""Cyclelok"" would yield instantly to the freeze and break routine.  	But then, for $40, what do ya want?  Later, --  Chris BeHanna	DoD# 114          1983 H-D FXWG Wide Glide - Jubilee's Red Lady behanna@syl.nj.nec.com	          1975 CB360T - Baby Bike Disclaimer:  Now why would NEC	  1991 ZX-11 - needs a name agree with any of this anyway?    I was raised by a pack of wild corn dogs. ",rec.motorcycles
"Nntp-Posting-Host: sunspot.ece.clarkson.edu  It might pay to start looking at what this proposal might mean to a police agency.  It just might be a bad idea for them, too.  OK, suppose the NY State Police want to tap a suspect's phone.  They need a warrant, just like the old days.  But unlike the old days, they now need to      (a) get two federal agencies to give them the two parts of        the key.  Now, what happens if there's a tiff between the two escrow houses? Posession/release of keys becomes a political bargaining chit.  State and lower-level police agencies have to watch the big boys play politics, while potentially good leads disappear, lives and property are lost, statutes of limitations run out, etc.  Not to mention: a moderately clever person who suspects the police are after her/him will be buying new phones faster than tap requests can be processed.  Or using stolen ones.  [Will the Turing Police come and arrest you for transmitting without a dialing license?]  There's also bureacracy and security problems -- within each escrow house,  how will requests for key disclosure be authenticated?  Put in enough safeguards of the kind bureaucrats and activists feel comfortable with, and  it might take a LONG time to get that key.  [Even when a request is approved,  how is the key going to be disclosed?  Will it be encrypted by a Clipper-type chip for transmission?  In a bureaucracy the size of the Federal Government, with a databank of the necessary size, and data traffic of the projected volume, there's going to be a lot of weak links.  How many of  these kinds of problems will be open for public or ""expert"" scrutiny?]    Furthermore, the Feds might be leery of handing completed keys around,  even to State Police agencies: a trust and security issue.  This would be  an especially acute issue if some other State's Police had mishandled a  key, resulting in lawsuits, financial settlements, and political  embarassment.  So, the Feds implement it this way:      (b) some federal agency gets the keys, performs the tap, and        turns the results over to the NY State Police.  But let's say Cuomo's been causing some problems over a Clinton Aid-To-Urban-Areas proposal.  Or there just happens to be a turf war going on between the State cops and the Justice department on a case. Now, not only do we have the keys as a political chit, we have an extra player in the game *and* we have the tap's tapes as another bargaining chit.  Again, the State Police lose.  I understand that (legal) wiretaps are quite expensive to maintain. In scenario (b), who pays the bill?  +========================================================================+ |  dwight tuinstra             best:  tuinstra@sandman.ece.clarkson.edu  | |                         tolerable:  tuinstrd@craft.camp.clarkson.edu   | |                                                                        | |        ""Homo sapiens: planetary cancer??  ...  News at six""            | +========================================================================+ ",sci.crypt
" Hello  I've got an old Trident 8800CS SVGA card, but lacking suitable drivers for windows 3.1. The drivers for the 8900 series seem to be incompatible. Does anyone have an idea of where to get these drivers? Address for an ftp-site would be nice.   Thanks in advance  Jouni  _______________________________________________________________________________ Jouni Marttila - Yo-kyl{ 11 B 25,  20540 Turku,  FINLAND - +358 21 374624____ jmarttila@abo.fi - jmarttila@finabo - abovax::jmarttila - jjmartti@utu.fi__ PGP-key available via finger jmarttila@abo.fi ___________________________ ",comp.sys.ibm.pc.hardware
"Distribution: na Message-ID: <26APR199312432440@erich.triumf.ca> References: <nataraja.735341980@opal12> <1993Apr22.173402.665@Virginia.EDU> NNTP-Posting-Host: erich.triumf.ca News-Software: VAX/VMS VNEWS 1.41      In article <1993Apr22.173402.665@Virginia.EDU>, ejv2j@Virginia.EDU (""Erik Velapoldi"") writes... #nataraja@rtsg.mot.com  writes: #> I heard the diesels are considered cleaner-burning than #> gas engines because the emit less of: Carbon Monoxide, #> Hydrocarbons, and Oxides of Nitrogen.  (CO, HC, NOX). #>  #> But they can put out a lot of particulate matter.  I heard #> something about legislation being discussed to ""clean up #> diesel emissions"".  Is there anything in the works to #> install ""scrubbers"" for diesels?  How about the feasibility #> of installing them on trucks and cars?  Would it be any #> different than a catylitic converter?  I'd assume easier, #> since we're removing particulate matter instead of converting #> gasses.  Let's hear people's opinions... #>  #  #VW and Mercedes have tinkered with particulate traps.  Also, VW #uses a kind of turbocharger on their Jetta ECOdiesel that helps #reduce particulates as well, although I don't know the #mechanics of it. #  #Many diesel cars,busses, and trucks in Europe are now being #equipped with catalysts and traps in an effort to clean up #diesel emissions, already well below legal limits anyway. #  #It's a shame GM had to soil the diesel's reputation in #passenger cars and prevent further resource devotion to #research into making this outstandingly efficient engine even #further ahead of gas engines in emissions. #  #erik     I sure don't know what and how they measure in regards to diesel   motors in cars, trucks, and busses, but I think they are probably  measuring the wrong pollutants, or at the wrong time, or both.     I certainly find it offensive to drive behind a diesel bus or  diesel truck and some diesel cars.  They stink!  And it's always  roll-up-the-windows panic time when one comes by or ducks in front  of me when I am driving with my family.     I don't think the combustion mixture is kept under very good  control in diesel engines, and that's why they stink.  So the   invisible, unsmellable pollutants are reduced in diesels.  Yeah,  well so what!?  Someone forgot about the visible, stinky kind, and,  as far as I am concerned, those kind are just as bad.      I am all for de-stinking the diesel vehicles.  It'll keep the  traffic signs cleaner, too.   Fred W. Bach ,    Operations Group        |  Internet: music@erich.triumf.ca  TRIUMF (TRI-University Meson Facility)    |  Voice:  604-222-1047 loc 327/278  4004 WESBROOK MALL, UBC CAMPUS            |  FAX:    604-222-1074  University of British Columbia, Vancouver, B.C., CANADA   V6T 2A3   These are my opinions, which should ONLY make you read, think, and question.  They do NOT necessarily reflect the views of my employer or fellow workers. ",rec.autos
" One of the candidates that has been suggested for a key registration body is the ACLU.  I think this is poor choice.   The ACLU is essentially a group of auditors: they audit how people's civil liberties are administered.  Traditionally, auditors do not like to get involved in the design or operational aspects of things, and with good reason.  When I was a systems programmer, it always infuriated me that the auditors would come in and tell us our implementation stunk from a security point of view, but wouldn't tell us how to fix it.  I always figured they just liked to critcize, without doing the work to help fix the problem.  Then I took a stint as an auditor, and I found out the real reason. Auditors don't like to recommend solutions, because it puts them in a bad position if they have to criticize the implementation later.  The auditee can say, ""Well, you told us this way would be OK.""  It compromises the independence that is a necessary part of the auditor's job.  Taking the case at hand, suppose ACLU becomes a key half registrar. Suppose that, perhaps through some error on ACLU's part, a key half gets away that shouldn't, and is used to deprive someone of her civil liberties.  The ACLU gets wind of this, and wants to take it to court. But they end up being at the same time on the side of the defendant and of the plaintiff, which is not an easy position to be in.  There are exceptions to the complete independence of auditors: at one place where I worked, when payroll checks were printed, they were signed automatically by a signature drum on the bursting machine.  This drum was kept by the auditors (who also kept the check stock), and was brought down to Data Processing when it was time to do the checks.  I believe the difference between this situation and the key registration situation is that it is fairly obvious when it is time to do the payroll checks:  if they were done yesterday, and someone wants to do them again today, he better be able to produce yesterday's checks so that they can be destroyed.  Determining which of the many requests for key halves are legit is a trickier process, one much more prone to mistakes that could put the ACLU in a protecting-the-client versus protecting-the-ACLU conflict of interest.  As always, my opinions are my own.  Lynn Grant Grant@Dockmaster.NCSC.MIL ",sci.crypt
" In article <1993Apr22.195519.11104@convex.com> tobias@convex.com (Allen Tobias) writes: > >Better still, years ago they demonstrated a cold air system which only used >""air"". It was called a Rovax. The unit worked very well, the short coming >was the seal technology. Where is it today?  Actually the company, and the product was ROVAC - which stood for ROTary Air Conditioning..it used a rotary compressor with what was effectively an air/air heat exchanger, and worked pretty well. The negatives were mostly that it was about 5-10% less efficient than using freon, and noise problems from the high velocity/pressure air, all of which were solved by the time the company went bankrupt.  It is still a legal entity in Florida, but I believe completely ""dead"".. and there's a heck of an opurtunity to buy up it's patents and restart the operation...   --  Alan L. Peterman                                 (503)-684-1984 hm & work                        al@qiclab.scn.rain.com It's odd how as I get older, the days are longer, but the years are shorter! ",rec.autos
" In article <strnlghtC5t3K6.InF@netcom.com>, strnlght@netcom.com (David Sternlight) writes: > In article <tcmayC5rs6n.Lz8@netcom.com> tcmay@netcom.com (Timothy C. May) writes: > >After the Waco Massacre and the Big Brother Wiretap Chip, any tactic > >is fair. >  > This is pernicious nonsense! >  > David Sternlight         Great care has been taken to ensure the accuracy of  Since the FBI's account of what happened is being contradicted on an increasingly frequent basis by other officials investigating the fire, the most pernicious idea of all is believing that Big Brother is going to be well-behaved with respect to cryptographic keys.  In light of the very serious allegations with respect to the DOJ selling software to various other intelligence services, what do you suppose the chances are of some future DOJ selling escrowed keys to business firms?  Trusting the government to be honest and fair is putting the  fox in charge of protecting the chickens.   --  Clayton E. Cramer {uunet,pyramid}!optilink!cramer  My opinions, all mine! Relations between people to be by mutual consent, or not at all. ",sci.crypt
"Nntp-Posting-Host: compstat.wharton.upenn.edu In-reply-to: zrdf01@trc.amoco.com's message of 20 Apr 93 15:56:06 GMT  In article <C5sHLJ.ErE@trc.amoco.com> zrdf01@trc.amoco.com (Rusty Foreman) writes:     Has anyone taken a look at the new ViewSonic 17? They claim    1280x1024 at 76Hz.  How does it compare with the T560i in terms of    price, and quality of display?  I'm interested in the new ViewSonic 17 as well.  Has anyone seen one of these monitors in the flesh?   - Tony  ",comp.sys.ibm.pc.hardware
" In article <C5JA6s.A59@cs.psu.edu> so@eiffel.cs.psu.edu (Nicol C So) writes: >In article <897@pivot.sbi.com> bet@sbi.com (Bennett Todd @ Salomon Brothers Inc., NY ) writes: >>This came up because I decided to configure up MIT-MAGIC-COOKIE-1 security >>for X11R5. For this to work you need to stick some bits that an intruder >>can't guess in a file (readable only by you) which X client applications >>read. They pass the bits back to the server when they want to establish a >>connection. >> >>... >>What I settled on was grabbing a bunch of traffic off the network. >>Basically, I ran >> >>	etherfind -u -x greater 0|compress >> >>and skipped over 10K of output, then grabbed my bits. As best I can tell, >>these are bits that can be expected to be reasonably uniformly distributed, >>and quite unguessable by an intruder. > >For your application, what you can do is to encrypt the real-time clock >value with a secret key.  For a good discussion of cryptographically ""good"" random number generators, check out the draft-ietf-security-randomness-00.txt Internet Draft, available at your local friendly internet drafts repository.   A reasonably source of randomness is the output of a cryptographic hash function (e.g., MD5), when fed with a large amount of more-or-less random data. For example, running MD5 on /dev/mem is a slow, but random enough, source of random bits; there are bound to be 128 bits of entropy in the tens (or hundreds) of megabytes of data in a modern workstation's memory, as a fair amount of them are system timers, i/o buffers, etc.  /ji ",sci.crypt
 exit    ,sci.space
" I repair a lot of monitors here, and I'd like to know where I can get a pattern generator (or a circuit for one) that will provide MDA, EGA and VGA signals. Using a whole PC to do this takes up too much space on my bench, and is somewhat less than portable. I guess I could sit down and design something, but I don't have the time right now - any (reasonable) suggestions would be appreciated.  TNX  TG --  Tony Grimwood, ZL1TTG			""Make no friendship with an elephant Biomedical Engineering Services		 keeper, unless you have room to University of Auckland			 entertain an elephant."" Auckland, New Zealand		       		 == Saadi of Shiraz == ",sci.electronics
"Message-ID: <1raejd$bf4@access.digex.net> References: <19930422.121236.246@almaden.ibm.com> <1993Apr23.124759.1@fnalf.fnal.gov> NNTP-Posting-Host: access.digex.net    WHile we are on the subject of the shuttle software.  what ever happened to the hypothesis  that the shuttle flight software was a major factor in the loss of 51-L.  to wit,  that during the wind shear event,  the Flight control software  indicated a series of very violent engine movements that shocked and set upa harmonic resonance  leading to an overstress of the struts.  pat ",sci.space
"Date: 21 Apr 93 03:46:18 GMT References: <20APR93.23565659.0109@VM1.MCGILL.CA>  In article <20APR93.23565659.0109@VM1.MCGILL.CA> B8HA000 <B8HA@MUSICB.MCGILL.CA> writes: >In Re:Syria's Expansion, the author writes that the UN thought >Zionism was Racism and that they were wrong.  They were correct >the first time, Zionism is Racism and thankfully, the McGill Daily >(the student newspaper at McGill) was proud enough to print an article >saying so.  If you want a copy, send me mail. > >Steve >  I know this paper well, and see it for the exercise in selective morality  and judgement it is. Until such time as it recognizes that *any* religiously based government is racist, exclusionary and simply built on a philosophy of ""separate but equal"" second-class treatment of minorities, it will  continue to be known for its bias. If Jewish nationalism is racism, so is  Islam; anywhere where people are allotted ""different rights"" according to  race, religion or culture is ""racist"". ",talk.politics.mideast
" In article <wayne.02uv@amtower.spacecoast.org> wayne@amtower.spacecoast.orgX-NewsSoftware: GRn 1.16f (10.17.92) by Mike Schwartz & Michael B. Smith writes:  >> but I still want to know why it intrinsically better >> (than IDE, on an ISA bus) when it comes to multi-tasking OS's when >> managing data from a single SCSI hard drive. > >A SCSI controller that transfers data by DMA allows the cpu to request data >from the hard drive and continue working while the controller gets the data >and moves it to memory.   IDE also uses DMA techniques.  I believe floppy controller also uses DMA, and most A/D boards also use DMA.  DMA is no big deal, and has nothing to do directly with SCSI.  > For example, when rewinding or formatting a tape, the command is >issued to the controller and the bus is released to allow access to other >devices on the bus.  This greatly increases productivity or, at least, do >something else while backing up your hard drive :-).  Which happens to be >what I am doing while reading this group.  You can thank your software for that.  If DOS had a few more brains, it could format floppies etc. while you were doing something else.  The hardware will support it, but DOS (at least) won't.  Again, this has    nothing to do with SCSI.  >Its a long story, but I still use IDE on my 486 except for the CDROM which, >thanks to SCSI, I can move between both machines.  If, and when, SCSI is >better standardized and supported on the ibm-clone machines, I plan to >completely get rid of IDE.  And if you stick with DOS you'll wonder why you can't multitask.  Again I ask why can't a UNIX or OS/2 type OS do all the miraculous things with an IDE harddrive that it can with a (single) SCSI hard drive. ",comp.sys.ibm.pc.hardware
" 	I'm trying to bring in 8+ bits to a PC, and would like 	to use interrupt-driven routines. Without buying an IO 	board or making a new port, _where_ can I bring in these 	bits? LPT seems to have only a few inputs, but I've heard 	rumours that some LPTs have bidirectional lines. Anybody 	know fer sure? If any bi-d LPTs, which boards have them 	(I'll be running a new 386DX-33)?  ------------------------------------------------------------------ Alan Erickson   erickson@baltic.nmt.edu		  to all SunRayce '93 competitors: I hope you're getting about as much sleep as I am..... ------------------------------------------------------------------ ",sci.electronics
" nsmca@aurora.alaska.edu writes:  >Other idea for old space crafts is as navigation beacons and such.. >Why not?? If you can put them on ""safe"" ""pause"" mode.. why not have them be >activated by a signal from a space craft (manned?) to act as a naviagtion >beacon, to take a directional plot on??  >Wierd or what? >== >Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked  There is a whole constellation of custom built navigation beacon satellites in the process of being phased out right now. The TRANSIT/OSCAR satellites are being replaced by GPS. Or were you thinking of deep space navigation, which is best done with doppler/VLBI/ stellar measurements. I do not think additional radio beacons would help much. -- Dave Stephenson Geological Survey of Canada Ottawa, Ontario, Canada Internet: stephens@geod.emr.ca ",sci.space
